Note: Several counties contain special characters that can only be rendered correctly by following the steps below for opening the csv in Excel or Google Sheets.
Excel on Mac and Google Sheets : please refer to this official article: Import data from a CSV HTML or text file.
https://nam11.safelinks.protection.outlook.com/?url=https%3A%2F%2Fsupport.microsoft.com%2Fen-us%2Foffice%2Fimport-data-from-a-csv-html-or-text-file-b62efe49-4d5b-4429-b788-e1211b5e90f6%3Fui%3Den-us%26rs%3Den-us%26ad%3Dus&data=05%7C01%7Cshamaya.lurae.whitby%40emory.edu%7C0fd288bc84be41fae33c08dac34a0c82%7Ce004fb9cb0a4424fbcd0322606d5df38%7C0%7C0%7C638037020071507443%7CUnknown%7CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0%3D%7C3000%7C%7C%7C&sdata=fbuH9B3RH8A5Ourun52x3TKT9ua%2B5DFN886z9ZgH4nw%3D&reserved=0
Excel on Mircosoft: please refer to this official article: Import data from a CSV HTML or text file.
https://nam11.safelinks.protection.outlook.com/?url=https%3A%2F%2Fanswers.microsoft.com%2Fen-us%2Fmsoffice%2Fforum%2Fall%2Fhow-to-open-utf-8-csv-file-in-excel-without-mis%2F1eb15700-d235-441e-8b99-db10fafff3c2&data=05%7C01%7Cshamaya.lurae.whitby%40emory.edu%7C0fd288bc84be41fae33c08dac34a0c82%7Ce004fb9cb0a4424fbcd0322606d5df38%7C0%7C0%7C638037020071507443%7CUnknown%7CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0%3D%7C3000%7C%7C%7C&sdata=sv24XsWqYIGnrQGkEiQCghebOTHFKFF2RU%2BuYFy0LE8%3D&reserved=0

county,state,"Rates of Persons Living with HIV, 2021"
"Berkeley","South Carolina",296
"Calhoun","South Carolina",333
"Charleston","South Carolina",470
"Cherokee","South Carolina",225
"Chester","South Carolina",339
"Chesterfield","South Carolina",254
"Clarendon","South Carolina",596
"Colleton","South Carolina",505
"Darlington","South Carolina",504
"Dillon","South Carolina",611
"Dorchester","South Carolina",325
"Edgefield","South Carolina",545
"Fairfield","South Carolina",580
"Florence","South Carolina",699
"Georgetown","South Carolina",375
"Greenville","South Carolina",360
"Greenwood","South Carolina",435
"Hampton","South Carolina",756
"Horry","South Carolina",346
"Jasper","South Carolina",368
"Kershaw","South Carolina",369
"Lancaster","South Carolina",276
"Laurens","South Carolina",332
"Lee","South Carolina",848
"Lexington","South Carolina",326
"Marion","South Carolina",690
"Marlboro","South Carolina",437
"McCormick","South Carolina",353
"Newberry","South Carolina",369
"Oconee","South Carolina",160
"Orangeburg","South Carolina",682
"Pickens","South Carolina",159
"Richland","South Carolina",872
"Saluda","South Carolina",295
"Spartanburg","South Carolina",277
"Sumter","South Carolina",730
"Union","South Carolina",300
"Williamsburg","South Carolina",824
"York","South Carolina",247
"Aurora","South Dakota",-1
"Beadle","South Dakota",46
"Bennett","South Dakota",-1
"Bon Homme","South Dakota",132
"Brookings","South Dakota",61
"Brown","South Dakota",79
"Brule","South Dakota",-1
"Buffalo","South Dakota",-1
"Butte","South Dakota",93
"Campbell","South Dakota",-1
"Charles Mix","South Dakota",-1
"Clark","South Dakota",-1
"Clay","South Dakota",76
"Codington","South Dakota",46
"Corson","South Dakota",0
"Custer","South Dakota",-1
"Davison","South Dakota",72
"Day","South Dakota",-1
"Deuel","South Dakota",-1
"Dewey","South Dakota",294
"Douglas","South Dakota",0
"Edmunds","South Dakota",0
"Fall River","South Dakota",-1
"Faulk","South Dakota",-1
"Grant","South Dakota",-1
"Gregory","South Dakota",0
"Haakon","South Dakota",-1
"Hamlin","South Dakota",-1
"Hand","South Dakota",0
"Hanson","South Dakota",0
"Harding","South Dakota",0
"Hughes","South Dakota",103
"Hutchinson","South Dakota",-1
"Hyde","South Dakota",0
"Jackson","South Dakota",240
"Jerauld","South Dakota",0
"Jones","South Dakota",0
"Kingsbury","South Dakota",-1
"Lake","South Dakota",-1
"Lawrence","South Dakota",39
"Lincoln","South Dakota",46
"Lyman","South Dakota",0
"Marshall","South Dakota",-1
"McCook","South Dakota",-1
"McPherson","South Dakota",-1
"Meade","South Dakota",90
"Mellette","South Dakota",0
"Miner","South Dakota",-1
"Minnehaha","South Dakota",187
"Moody","South Dakota",-1
"Oglala Lakota","South Dakota",201
"Pennington","South Dakota",118
"Perkins","South Dakota",-1
"Potter","South Dakota",0
"Roberts","South Dakota",-1
"Sanborn","South Dakota",-1
"Spink","South Dakota",-1
"Stanley","South Dakota",0
"Sully","South Dakota",0
"Todd","South Dakota",-1
"Tripp","South Dakota",-1
"Turner","South Dakota",-1
"Union","South Dakota",-1
"Walworth","South Dakota",114
"Yankton","South Dakota",96
"Ziebach","South Dakota",-1
"Anderson","Tennessee",134
"Bedford","Tennessee",154
"Benton","Tennessee",140
"Bledsoe","Tennessee",211
"Blount","Tennessee",109
"Bradley","Tennessee",142
"Campbell","Tennessee",86
"Cannon","Tennessee",211
"Carroll","Tennessee",121
"Carter","Tennessee",85
"Cheatham","Tennessee",209
"Chester","Tennessee",94
"Claiborne","Tennessee",54
"Clay","Tennessee",-1
"Cocke","Tennessee",147
"Coffee","Tennessee",133
"Crockett","Tennessee",103
"Cumberland","Tennessee",98
"Davidson","Tennessee",650
"Decatur","Tennessee",143
"DeKalb","Tennessee",196
"Dickson","Tennessee",155
"Dyer","Tennessee",121
"Fayette","Tennessee",215
"Fentress","Tennessee",62
"Franklin","Tennessee",80
"Gibson","Tennessee",212
"Giles","Tennessee",142
"Grainger","Tennessee",97
"Greene","Tennessee",101
"Grundy","Tennessee",147
"Hamblen","Tennessee",126
"Hamilton","Tennessee",356
"Hancock","Tennessee",87
"Hardeman","Tennessee",227
"Hardin","Tennessee",130
"Hawkins","Tennessee",98
"Haywood","Tennessee",595
"Henderson","Tennessee",115
"Henry","Tennessee",123
"Hickman","Tennessee",213
"Houston","Tennessee",-1
"Humphreys","Tennessee",98
"Jackson","Tennessee",107
"Jefferson","Tennessee",120
"Johnson","Tennessee",205
"Knox","Tennessee",252
"Lake","Tennessee",668
"Lauderdale","Tennessee",291
"Lawrence","Tennessee",114
"Lewis","Tennessee",64
"Lincoln","Tennessee",130
"Loudon","Tennessee",79
"Macon","Tennessee",71
"Madison","Tennessee",318
"Marion","Tennessee",105
"Marshall","Tennessee",147
"Maury","Tennessee",208
"McMinn","Tennessee",122
"McNairy","Tennessee",104
"Meigs","Tennessee",99
"Monroe","Tennessee",105
"Montgomery","Tennessee",219
"Moore","Tennessee",-1
"Morgan","Tennessee",141
"Obion","Tennessee",120
"Overton","Tennessee",87
"Perry","Tennessee",183
"Pickett","Tennessee",-1
"Polk","Tennessee",130
"Putnam","Tennessee",154
"Rhea","Tennessee",160
"Roane","Tennessee",108
"Robertson","Tennessee",183
"Rutherford","Tennessee",242
"Scott","Tennessee",27
"Sequatchie","Tennessee",184
"Sevier","Tennessee",159
"Shelby","Tennessee",864
"Smith","Tennessee",106
"Stewart","Tennessee",42
"Sullivan","Tennessee",134
"Sumner","Tennessee",133
"Tipton","Tennessee",177
"Trousdale","Tennessee",278
"Unicoi","Tennessee",110
"Union","Tennessee",88
"Van Buren","Tennessee",93
"Warren","Tennessee",129
"Washington","Tennessee",211
"Wayne","Tennessee",151
"Weakley","Tennessee",80
"White","Tennessee",124
"Williamson","Tennessee",90
"Wilson","Tennessee",165
"Anderson","Texas",586
"Andrews","Texas",112
"Angelina","Texas",260
"Aransas","Texas",169
"Archer","Texas",-1
"Armstrong","Texas",-1
"Atascosa","Texas",181
"Austin","Texas",232
"Bailey","Texas",-1
"Bandera","Texas",142
"Bastrop","Texas",259
"Baylor","Texas",-1
"Bee","Texas",548
"Bell","Texas",291
"Bexar","Texas",415
"Blanco","Texas",105
"Borden","Texas",3230
"Bosque","Texas",126
"Bowie","Texas",340
"Brazoria","Texas",303
"Brazos","Texas",218
"Brewster","Texas",121
"Briscoe","Texas",0
"Brooks","Texas",198
"Brown","Texas",128
"Burleson","Texas",144
"Burnet","Texas",149
"Caldwell","Texas",230
"Calhoun","Texas",140
"Callahan","Texas",92
"Cameron","Texas",293
"Camp","Texas",205
"Carson","Texas",0
"Cass","Texas",212
"Castro","Texas",-1
"Chambers","Texas",102
"Cherokee","Texas",277
"Childress","Texas",119
"Clay","Texas",79
"Cochran","Texas",-1
"Coke","Texas",-1
"Coleman","Texas",105
"Collin","Texas",235
"Collingsworth","Texas",0
"Colorado","Texas",240
"Comal","Texas",158
"Comanche","Texas",120
"Concho","Texas",709
"Cooke","Texas",116
"Coryell","Texas",350
"Cottle","Texas",-1
"Crane","Texas",-1
"Crockett","Texas",-1
"Crosby","Texas",334
"Culberson","Texas",-1
"Dallam","Texas",166
"Dallas","Texas",926
"Dawson","Texas",198
"Deaf Smith","Texas",211
"Delta","Texas",269
"Denton","Texas",217
"DeWitt","Texas",30
"Dickens","Texas",-1
"Dimmit","Texas",177
"Donley","Texas",213
"Duval","Texas",215
"Eastland","Texas",86
"Ector","Texas",241
"Edwards","Texas",-1
"El Paso","Texas",356
"Ellis","Texas",240
"Erath","Texas",68
"Falls","Texas",280
"Fannin","Texas",211
"Fayette","Texas",150
"Fisher","Texas",160
"Floyd","Texas",136
"Foard","Texas",-1
"Fort Bend","Texas",264
"Franklin","Texas",250
"Freestone","Texas",462
"Frio","Texas",960
"Gaines","Texas",50
"Galveston","Texas",384
"Garza","Texas",1033
"Gillespie","Texas",89
"Glasscock","Texas",535
"Goliad","Texas",147
"Gonzales","Texas",169
"Gray","Texas",92
"Grayson","Texas",169
"Gregg","Texas",499
"Grimes","Texas",410
"Guadalupe","Texas",135
"Hale","Texas",159
"Hall","Texas",-1
"Hamilton","Texas",100
"Hansford","Texas",-1
"Hardeman","Texas",232
"Hardin","Texas",119
"Harris","Texas",724
"Harrison","Texas",227
"Hartley","Texas",-1
"Haskell","Texas",548
"Hays","Texas",198
"Hemphill","Texas",261
"Henderson","Texas",198
"Hidalgo","Texas",241
"Hill","Texas",160
"Hockley","Texas",92
"Hood","Texas",140
"Hopkins","Texas",168
"Houston","Texas",548
"Howard","Texas",612
"Hudspeth","Texas",324
"Hunt","Texas",178
"Hutchinson","Texas",112
"Irion","Texas",-1
"Jack","Texas",256
"Jackson","Texas",89
"Jasper","Texas",152
"Jeff Davis","Texas",-1
"Jefferson","Texas",597
"Jim Hogg","Texas",157
"Jim Wells","Texas",105
"Johnson","Texas",201
"Jones","Texas",246
"Karnes","Texas",616
"Kaufman","Texas",301
"Kendall","Texas",154
"Kenedy","Texas",-1
"Kent","Texas",0
"Kerr","Texas",132
"Kimble","Texas",-1
"King","Texas",0
"Kinney","Texas",333
"Kleberg","Texas",118
"Knox","Texas",-1
"La Salle","Texas",313
"Lamar","Texas",183
"Lamb","Texas",239
"Lampasas","Texas",121
"Lavaca","Texas",169
"Lee","Texas",145
"Leon","Texas",224
"Liberty","Texas",312
"Limestone","Texas",241
"Lipscomb","Texas",0
"Live Oak","Texas",144
"Llano","Texas",168
"Loving","Texas",-1
"Lubbock","Texas",215
"Lynn","Texas",109
"Madison","Texas",422
"Marion","Texas",331
"Martin","Texas",-1
"Mason","Texas",-1
"Matagorda","Texas",285
"Maverick","Texas",209
"McCulloch","Texas",171
"McLennan","Texas",238
"McMullen","Texas",0
"Medina","Texas",158
"Menard","Texas",-1
"Midland","Texas",174
"Milam","Texas",212
"Mills","Texas",0
"Mitchell","Texas",66
"Montague","Texas",81
"Montgomery","Texas",195
"Moore","Texas",122
"Morris","Texas",208
"Motley","Texas",-1
"Nacogdoches","Texas",219
"Navarro","Texas",219
"Newton","Texas",122
"Nolan","Texas",159
"Nueces","Texas",224
"Ochiltree","Texas",-1
"Oldham","Texas",0
"Orange","Texas",223
"Palo Pinto","Texas",104
"Panola","Texas",199
"Parker","Texas",120
"Parmer","Texas",76
"Pecos","Texas",153
"Polk","Texas",447
"Potter","Texas",329
"Presidio","Texas",143
"Rains","Texas",130
"Randall","Texas",130
"Reagan","Texas",-1
"Real","Texas",-1
"Red River","Texas",182
"Reeves","Texas",1000
"Refugio","Texas",-1
"Roberts","Texas",0
"Robertson","Texas",170
"Rockwall","Texas",168
"Runnels","Texas",145
"Rusk","Texas",422
"Sabine","Texas",159
"San Augustine","Texas",206
"San Jacinto","Texas",181
"San Patricio","Texas",125
"San Saba","Texas",200
"Schleicher","Texas",-1
"Scurry","Texas",108
"Shackelford","Texas",-1
"Shelby","Texas",235
"Sherman","Texas",-1
"Smith","Texas",263
"Somervell","Texas",74
"Starr","Texas",83
"Stephens","Texas",206
"Sterling","Texas",0
"Stonewall","Texas",-1
"Sutton","Texas",-1
"Swisher","Texas",120
"Tarrant","Texas",367
"Taylor","Texas",221
"Terrell","Texas",-1
"Terry","Texas",244
"Throckmorton","Texas",-1
"Titus","Texas",180
"Tom Green","Texas",162
"Travis","Texas",473
"Trinity","Texas",310
"Tyler","Texas",466
"Upshur","Texas",155
"Upton","Texas",0
"Uvalde","Texas",151
"Val Verde","Texas",125
"Van Zandt","Texas",120
"Victoria","Texas",186
"Walker","Texas",994
"Waller","Texas",161
"Ward","Texas",159
"Washington","Texas",190
"Webb","Texas",260
"Wharton","Texas",217
"Wheeler","Texas",-1
"Wichita","Texas",152
"Wilbarger","Texas",-1
"Willacy","Texas",748
"Williamson","Texas",182
"Wilson","Texas",112
"Winkler","Texas",118
"Wise","Texas",113
"Wood","Texas",170
"Yoakum","Texas",103
"Young","Texas",67
"Zapata","Texas",122
"Zavala","Texas",158
"Beaver","Utah",-1
"Box Elder","Utah",53
"Cache","Utah",53
"Carbon","Utah",101
"Daggett","Utah",0
"Davis","Utah",80
"Duchesne","Utah",53
"Emery","Utah",-1
"Garfield","Utah",-1
"Grand","Utah",121
"Iron","Utah",68
"Juab","Utah",-1
"Kane","Utah",75
"Millard","Utah",107
"Morgan","Utah",-1
"Piute","Utah",0
"Rich","Utah",-1
"Salt Lake","Utah",231
"San Juan","Utah",51
"Sanpete","Utah",49
"Sevier","Utah",34
"Summit","Utah",96
"Tooele","Utah",87
"Uintah","Utah",60
"Utah","Utah",52
"Wasatch","Utah",31
"Washington","Utah",89
"Wayne","Utah",-1
"Weber","Utah",98
"Addison","Vermont",18
"Bennington","Vermont",28
"Caledonia","Vermont",41
"Chittenden","Vermont",27
"Essex","Vermont",0
"Franklin","Vermont",14
"Grand Isle","Vermont",-1
"Lamoille","Vermont",-1
"Orange","Vermont",-1
"Orleans","Vermont",46
"Rutland","Vermont",19
"Washington","Vermont",27
"Windham","Vermont",32
"Windsor","Vermont",35
"Accomack","Virginia",373
"Albemarle","Virginia",210
"Alexandria","Virginia",846
"Alleghany","Virginia",107
"Amelia","Virginia",158
"Amherst","Virginia",167
"Appomattox","Virginia",145
"Arlington","Virginia",592
"Augusta","Virginia",117
"Bath","Virginia",-1
"Bedford","Virginia",92
"Bedford","Virginia",undefined
"Bland","Virginia",144
"Botetourt","Virginia",101
"Bristol","Virginia",178
"Brunswick","Virginia",416
"Buchanan","Virginia",80
"Buckingham","Virginia",378
"Buena Vista","Virginia",125
"Campbell","Virginia",172
"Caroline","Virginia",259
"Carroll","Virginia",71
"Charles City","Virginia",303
"Charlotte","Virginia",164
"Charlottesville","Virginia",406
"Chesapeake","Virginia",312
"Chesterfield","Virginia",240
"Clarke","Virginia",200
"Colonial Heights","Virginia",270
"Covington","Virginia",313
"Craig","Virginia",116
"Culpeper","Virginia",240
"Cumberland","Virginia",263
"Danville","Virginia",506
"Dickenson","Virginia",42
"Dinwiddie","Virginia",204
"Emporia","Virginia",473
"Essex","Virginia",226
"Fairfax","Virginia",283
"Fairfax","Virginia",411
"Falls Church","Virginia",348
"Fauquier","Virginia",155
"Floyd","Virginia",148
"Fluvanna","Virginia",183
"Franklin","Virginia",127
"Franklin","Virginia",377
"Frederick","Virginia",143
"Fredericksburg","Virginia",448
"Galax","Virginia",146
"Giles","Virginia",84
"Gloucester","Virginia",158
"Goochland","Virginia",243
"Grayson","Virginia",132
"Greene","Virginia",131
"Greensville","Virginia",588
"Halifax","Virginia",270
"Hampton","Virginia",561
"Hanover","Virginia",132
"Harrisonburg","Virginia",180
"Henrico","Virginia",363
"Henry","Virginia",149
"Highland","Virginia",0
"Hopewell","Virginia",473
"Isle of Wight","Virginia",236
"James City","Virginia",67
"King and Queen","Virginia",189
"King George","Virginia",206
"King William","Virginia",92
"Lancaster","Virginia",338
"Lee","Virginia",104
"Lexington","Virginia",-1
"Loudoun","Virginia",129
"Louisa","Virginia",141
"Lunenburg","Virginia",330
"Lynchburg","Virginia",363
"Madison","Virginia",83
"Manassas","Virginia",301
"Manassas Park","Virginia",232
"Martinsville","Virginia",364
"Mathews","Virginia",210
"Mecklenburg","Virginia",270
"Middlesex","Virginia",178
"Montgomery","Virginia",81
"Nelson","Virginia",207
"New Kent","Virginia",150
"Newport News","Virginia",597
"Norfolk","Virginia",957
"Northampton","Virginia",380
"Northumberland","Virginia",194
"Norton","Virginia",-1
"Nottoway","Virginia",607
"Orange","Virginia",183
"Page","Virginia",68
"Patrick","Virginia",77
"Petersburg","Virginia",1165
"Pittsylvania","Virginia",177
"Poquoson","Virginia",94
"Portsmouth","Virginia",797
"Powhatan","Virginia",228
"Prince Edward","Virginia",222
"Prince George","Virginia",407
"Prince William","Virginia",289
"Pulaski","Virginia",78
"Radford","Virginia",93
"Rappahannock","Virginia",198
"Richmond","Virginia",390
"Richmond","Virginia",883
"Roanoke","Virginia",121
"Roanoke","Virginia",507
"Rockbridge","Virginia",95
"Rockingham","Virginia",105
"Russell","Virginia",41
"Salem","Virginia",186
"Scott","Virginia",58
"Shenandoah","Virginia",87
"Smyth","Virginia",148
"Southampton","Virginia",261
"Spotsylvania","Virginia",198
"Stafford","Virginia",188
"Staunton","Virginia",276
"Suffolk","Virginia",346
"Surry","Virginia",243
"Sussex","Virginia",572
"Tazewell","Virginia",67
"Virginia Beach","Virginia",308
"Warren","Virginia",177
"Washington","Virginia",89
"Waynesboro","Virginia",282
"Westmoreland","Virginia",191
"Williamsburg","Virginia",231
"Winchester","Virginia",287
"Wise","Virginia",127
"Wythe","Virginia",119
"York","Virginia",126
"Adams","Washington",85
"Asotin","Washington",89
"Benton","Washington",112
"Chelan","Washington",112
"Clallam","Washington",117
"Clark","Washington",196
"Columbia","Washington",-1
"Cowlitz","Washington",165
"Douglas","Washington",67
"Ferry","Washington",-1
"Franklin","Washington",136
"Garfield","Washington",0
"Grant","Washington",78
"Grays Harbor","Washington",167
"Island","Washington",138
"Jefferson","Washington",133
"King","Washington",372
"Kitsap","Washington",153
"Kittitas","Washington",82
"Klickitat","Washington",119
"Lewis","Washington",101
"Lincoln","Washington",126
"Mason","Washington",161
"Okanogan","Washington",90
"Pacific","Washington",182
"Pend Oreille","Washington",75
"Pierce","Washington",216
"San Juan","Washington",129
"Skagit","Washington",100
"Skamania","Washington",56
"Snohomish","Washington",177
"Spokane","Washington",166
"Stevens","Washington",57
"Thurston","Washington",139
"Wahkiakum","Washington",-1
"Walla Walla","Washington",118
"Whatcom","Washington",126
"Whitman","Washington",70
"Yakima","Washington",133
"District of Columbia","Washington, D.C.",2382
"Barbour","West Virginia",83
"Berkeley","West Virginia",181
"Boone","West Virginia",87
"Braxton","West Virginia",75
"Brooke","West Virginia",92
"Cabell","West Virginia",351
"Calhoun","West Virginia",93
"Clay","West Virginia",-1
"Doddridge","West Virginia",143
"Fayette","West Virginia",105
"Gilmer","West Virginia",288
"Grant","West Virginia",85
"Greenbrier","West Virginia",121
"Hampshire","West Virginia",98
"Hancock","West Virginia",40
"Hardy","West Virginia",123
"Harrison","West Virginia",103
"Jackson","West Virginia",42
"Jefferson","West Virginia",124
"Kanawha","West Virginia",298
"Lewis","West Virginia",35
"Lincoln","West Virginia",100
"Logan","West Virginia",73
"Marion","West Virginia",77
"Marshall","West Virginia",99
"Mason","West Virginia",79
"McDowell","West Virginia",89
"Mercer","West Virginia",108
"Mineral","West Virginia",74
"Mingo","West Virginia",77
"Monongalia","West Virginia",120
"Monroe","West Virginia",272
"Morgan","West Virginia",92
"Nicholas","West Virginia",48
"Ohio","West Virginia",141
"Pendleton","West Virginia",94
"Pleasants","West Virginia",198
"Pocahontas","West Virginia",102
"Preston","West Virginia",104
"Putnam","West Virginia",68
"Raleigh","West Virginia",189
"Randolph","West Virginia",104
"Ritchie","West Virginia",111
"Roane","West Virginia",42
"Summers","West Virginia",141
"Taylor","West Virginia",56
"Tucker","West Virginia",-1
"Tyler","West Virginia",-1
"Upshur","West Virginia",34
"Wayne","West Virginia",60
"Webster","West Virginia",84
"Wetzel","West Virginia",83
"Wirt","West Virginia",-1
"Wood","West Virginia",97
"Wyoming","West Virginia",77
"Adams","Wisconsin",111
"Ashland","Wisconsin",59
"Barron","Wisconsin",70
"Bayfield","Wisconsin",42
"Brown","Wisconsin",110
"Buffalo","Wisconsin",-1
"Burnett","Wisconsin",47
"Calumet","Wisconsin",43
"Chippewa","Wisconsin",54
"Clark","Wisconsin",55
"Columbia","Wisconsin",94
"Crawford","Wisconsin",50
"Dane","Wisconsin",167
"Dodge","Wisconsin",90
"Door","Wisconsin",107
"Douglas","Wisconsin",65
"Dunn","Wisconsin",48
"Eau Claire","Wisconsin",55
"Florence","Wisconsin",0
"Fond du Lac","Wisconsin",77
"Forest","Wisconsin",63
"Grant","Wisconsin",45
"Green","Wisconsin",25
"Green Lake","Wisconsin",67
"Iowa","Wisconsin",79
"Iron","Wisconsin",-1
"Jackson","Wisconsin",45
"Jefferson","Wisconsin",61
"Juneau","Wisconsin",91
"Kenosha","Wisconsin",148
"Kewaunee","Wisconsin",74
"La Crosse","Wisconsin",96
"Lafayette","Wisconsin",36
"Langlade","Wisconsin",30
"Lincoln","Wisconsin",56
"Manitowoc","Wisconsin",51
"Marathon","Wisconsin",62
"Marinette","Wisconsin",63
"Marquette","Wisconsin",95
"Menominee","Wisconsin",278
"Milwaukee","Wisconsin",411
"Monroe","Wisconsin",71
"Oconto","Wisconsin",18
"Oneida","Wisconsin",42
"Outagamie","Wisconsin",76
"Ozaukee","Wisconsin",38
"Pepin","Wisconsin",-1
"Pierce","Wisconsin",46
"Polk","Wisconsin",48
"Portage","Wisconsin",64
"Price","Wisconsin",-1
"Racine","Wisconsin",164
"Richland","Wisconsin",34
"Rock","Wisconsin",115
"Rusk","Wisconsin",-1
"Sauk","Wisconsin",72
"Sawyer","Wisconsin",63
"Shawano","Wisconsin",57
"Sheboygan","Wisconsin",68
"St. Croix","Wisconsin",44
"Taylor","Wisconsin",42
"Trempealeau","Wisconsin",56
"Vernon","Wisconsin",63
"Vilas","Wisconsin",-1
"Walworth","Wisconsin",55
"Washburn","Wisconsin",82
"Washington","Wisconsin",47
"Waukesha","Wisconsin",50
"Waupaca","Wisconsin",34
"Waushara","Wisconsin",88
"Winnebago","Wisconsin",94
"Wood","Wisconsin",70
"Albany","Wyoming",42
"Big Horn","Wyoming",51
"Campbell","Wyoming",64
"Carbon","Wyoming",41
"Converse","Wyoming",53
"Crook","Wyoming",-1
"Fremont","Wyoming",56
"Goshen","Wyoming",92
"Hot Springs","Wyoming",-1
"Johnson","Wyoming",-1
"Laramie","Wyoming",100
"Lincoln","Wyoming",-1
"Natrona","Wyoming",51
"Niobrara","Wyoming",-1
"Park","Wyoming",19
"Platte","Wyoming",-1
"Sheridan","Wyoming",59
"Sublette","Wyoming",-1
"Sweetwater","Wyoming",55
"Teton","Wyoming",58
"Uinta","Wyoming",-1
"Washakie","Wyoming",-1
"Weston","Wyoming",-1
